video_path,threads,microseconds
videos/small_video.mp4,1,829910|557980|826097
videos/small_video.mp4,2,616310|694334|714490
videos/small_video.mp4,3,698371|730151|706988
videos/small_video.mp4,4,725856|696025|647802
videos/small_video.mp4,5,617385|581845|618929
videos/small_video.mp4,6,589300|575833|575145
videos/small_video.mp4,7,586813|613558|582261
videos/small_video.mp4,8,632717|616637|616627
videos/small_video.mp4,9,613761|582195|650095
videos/small_video.mp4,10,574371|585492|575030
videos/small_video.mp4,11,1117003|615029|607902
videos/small_video.mp4,12,682018|692939|1187233
videos/small_video.mp4,13,648094|584795|580723
videos/small_video.mp4,14,574864|600579|588096
videos/small_video.mp4,15,590443|638120|604113
videos/small_video.mp4,16,614657|610674|604555
videos/small_video.mp4,17,606399|604917|628992
videos/small_video.mp4,18,591744|588844|586455
videos/small_video.mp4,19,601346|615473|622989
videos/small_video.mp4,20,643892|660166|665194
videos/small_video.mp4,21,613216|581947|641031
videos/small_video.mp4,22,632645|590547|612521
videos/small_video.mp4,23,582588|630802|595593
videos/small_video.mp4,24,614627|620003|605498
videos/small_video.mp4,25,597350|607185|601508
videos/small_video.mp4,26,611152|588371|631837
videos/small_video.mp4,27,594079|602278|622418
videos/small_video.mp4,28,613112|627086|614670
videos/small_video.mp4,29,610340|573459|595254
videos/small_video.mp4,30,650868|688464|716743
videos/small_video.mp4,31,693002|645225|625556
videos/small_video.mp4,32,675915|682376|739284
videos/small_video.mp4,33,711743|670170|674854
videos/small_video.mp4,34,655112|667573|687901
videos/large_video.mp4,1,4957178|6987606|4776055
videos/large_video.mp4,2,5599595|5423845|5517574
videos/large_video.mp4,3,5405808|4852676|5280448
videos/large_video.mp4,4,4908678|4943248|5115552
videos/large_video.mp4,5,5018300|5325631|4955276
videos/large_video.mp4,6,5274432|5308879|5963588
videos/large_video.mp4,7,5211409|5053769|5384724
videos/large_video.mp4,8,5217510|4713669|5183178
videos/large_video.mp4,9,5168054|5379472|4803043
videos/large_video.mp4,10,5340294|5153314|5186687
videos/large_video.mp4,11,5385639|4787686|5040016
videos/large_video.mp4,12,4992334|5325418|5006524
videos/large_video.mp4,13,4886113|5104401|4881121
videos/large_video.mp4,14,5234400|5233723|5280547
videos/large_video.mp4,15,5455834|5773956|5538488
videos/large_video.mp4,16,7861510|5439200|5134776
videos/large_video.mp4,17,9630099|5718713|5159136
videos/large_video.mp4,18,5444079|5148040|5340048
videos/large_video.mp4,19,4987734|4887795|5020564
videos/large_video.mp4,20,4866264|4907365|4786895
videos/large_video.mp4,21,4836717|5268793|5140110
videos/large_video.mp4,22,5037060|5311254|5213962
videos/large_video.mp4,23,5166200|4959021|5660538
videos/large_video.mp4,24,5032289|4831501|5063752
videos/large_video.mp4,25,5151734|5526464|5130582
videos/large_video.mp4,26,5348127|5223187|5223682
videos/large_video.mp4,27,5299308|5654330|5326959
videos/large_video.mp4,28,5410558|4783185|5272369
videos/large_video.mp4,29,5343450|5284622|5258759
videos/large_video.mp4,30,5251449|5055950|5317351
videos/large_video.mp4,31,5518514|5890963|5818637
videos/large_video.mp4,32,6167588|5782571|5838970
videos/large_video.mp4,33,6184277|6293325|5872028
videos/large_video.mp4,34,5838339|5864250|5989029
