video_path,threads,microseconds
videos/small_video.mp4,1,4193592|4220318|4241047
videos/small_video.mp4,2,2190551|2152123|2148779
videos/small_video.mp4,3,1509788|1525812|1529867
videos/small_video.mp4,4,1117646|1129213|1113447
videos/small_video.mp4,5,903722|926875|977855
videos/small_video.mp4,6,772467|804369|847780
videos/small_video.mp4,7,779638|734005|750614
videos/small_video.mp4,8,666776|706796|696902
videos/small_video.mp4,9,659712|668640|611813
videos/small_video.mp4,10,681198|633219|652052
videos/small_video.mp4,11,626045|627555|628490
videos/small_video.mp4,12,601167|638195|657130
videos/small_video.mp4,13,633191|650871|639896
videos/small_video.mp4,14,631382|628038|614574
videos/small_video.mp4,15,740911|643285|664669
videos/small_video.mp4,16,695173|679401|645517
videos/small_video.mp4,17,638239|668515|659308
videos/small_video.mp4,18,691358|641543|620869
videos/small_video.mp4,19,651620|691376|663099
videos/small_video.mp4,20,639539|653668|618398
videos/small_video.mp4,21,684171|658472|628283
videos/small_video.mp4,22,616569|637920|655738
videos/small_video.mp4,23,624776|621017|613910
videos/small_video.mp4,24,639319|639670|642981
videos/small_video.mp4,25,652144|634531|633835
videos/small_video.mp4,26,621629|647853|622093
videos/small_video.mp4,27,644904|614791|644312
videos/small_video.mp4,28,640619|691968|669914
videos/small_video.mp4,29,671693|708031|652145
videos/small_video.mp4,30,643307|656570|698153
videos/small_video.mp4,31,662761|657831|665627
videos/small_video.mp4,32,655713|671991|681230
videos/small_video.mp4,33,615474|634188|658854
videos/small_video.mp4,34,638176|681491|636428
videos/large_video.mp4,1,38152866|39090705|39933270
videos/large_video.mp4,2,23105583|19760863|19389975
videos/large_video.mp4,3,13461491|13143243|13606313
videos/large_video.mp4,4,12718183|10436342|10073949
videos/large_video.mp4,5,8824938|9013021|8540610
videos/large_video.mp4,6,8097352|8361233|7998859
videos/large_video.mp4,7,6485473|6823172|6638317
videos/large_video.mp4,8,5749801|5948551|5977364
videos/large_video.mp4,9,5719125|6246969|5468092
videos/large_video.mp4,10,5516503|5292664|5357872
videos/large_video.mp4,11,5149252|5067794|5145494
videos/large_video.mp4,12,5533395|5163983|5348747
videos/large_video.mp4,13,5184391|5139689|5491849
videos/large_video.mp4,14,5444363|5432527|5397881
videos/large_video.mp4,15,5607407|5355702|5282695
videos/large_video.mp4,16,5485153|5132723|5489267
videos/large_video.mp4,17,5247657|5203791|5395045
videos/large_video.mp4,18,5493356|5510797|5413810
videos/large_video.mp4,19,5463752|5469159|5455487
videos/large_video.mp4,20,5417682|5384481|5473899
videos/large_video.mp4,21,5412615|5411858|5442819
videos/large_video.mp4,22,5394607|5423727|5349291
videos/large_video.mp4,23,5417061|5514059|5467916
videos/large_video.mp4,24,5495417|5624926|5435990
videos/large_video.mp4,25,5555632|5535180|5348672
videos/large_video.mp4,26,5266010|5576739|5510865
videos/large_video.mp4,27,5545089|5542550|5585201
videos/large_video.mp4,28,5510916|5512274|5195647
videos/large_video.mp4,29,5454009|5498153|5408990
videos/large_video.mp4,30,5445489|5443388|5528981
videos/large_video.mp4,31,5408500|5294106|5431217
videos/large_video.mp4,32,5388749|5424655|5539697
videos/large_video.mp4,33,5524334|5391798|5367909
videos/large_video.mp4,34,5516221|5468594|5521277
