video_path,k,res,threads,microseconds
videos/earth_S.mp4,0.3,722,1,562585|557981|554163
videos/earth_S.mp4,0.3,722,2,566365|542913|545189
videos/earth_S.mp4,0.3,722,3,565209|549346|567956
videos/earth_S.mp4,0.3,722,4,548977|561978|547565
videos/earth_S.mp4,0.3,722,5,547937|579961|553436
videos/earth_S.mp4,0.3,722,6,572541|542378|575195
videos/earth_S.mp4,0.3,722,7,565147|549669|553366
videos/earth_S.mp4,0.3,722,8,551005|580319|577753
videos/earth_S.mp4,0.3,722,9,550476|571661|560006
videos/earth_S.mp4,0.3,722,10,552235|588378|563205
videos/earth_S.mp4,0.3,722,11,548947|564473|558086
videos/earth_S.mp4,0.3,722,12,558899|579520|550701
videos/earth_S.mp4,0.3,722,13,545215|541853|552817
videos/earth_S.mp4,0.3,722,14,560273|572951|566037
videos/earth_S.mp4,0.3,722,15,566670|564342|557971
videos/earth_S.mp4,0.3,722,16,573716|564686|564924
videos/earth_S.mp4,0.3,722,17,565752|566361|555870
videos/earth_S.mp4,0.3,722,18,555827|556200|553747
videos/earth_S.mp4,0.3,722,19,573061|556912|564303
videos/earth_S.mp4,0.3,722,20,569160|555313|550349
videos/earth_S.mp4,0.3,722,21,555475|586600|558784
videos/earth_S.mp4,0.3,722,22,555525|607161|584418
videos/earth_S.mp4,0.3,722,23,563235|556379|548694
videos/earth_S.mp4,0.3,722,24,550587|549231|552781
videos/earth_S.mp4,0.3,722,25,570066|550867|550377
videos/earth_S.mp4,0.3,722,26,561784|556258|553523
videos/earth_S.mp4,0.3,722,27,557119|562776|559907
videos/earth_S.mp4,0.3,722,28,549377|564437|552553
videos/earth_S.mp4,0.3,722,29,554339|553195|544857
videos/earth_S.mp4,0.3,722,30,551203|562963|552374
videos/earth_S.mp4,0.3,722,31,553150|554951|555311
videos/earth_S.mp4,0.3,722,32,564425|553159|580901
videos/earth_S.mp4,0.3,722,33,564159|552680|568168
videos/earth_S.mp4,0.3,722,34,558607|555948|560588
videos/earth_M.mp4,0.3,624,1,2034987|2013976|2016243
videos/earth_M.mp4,0.3,624,2,2031116|2093750|2038486
videos/earth_M.mp4,0.3,624,3,2055902|2069464|2058693
videos/earth_M.mp4,0.3,624,4,2078566|2109107|2092334
videos/earth_M.mp4,0.3,624,5,2071403|2072845|2137240
videos/earth_M.mp4,0.3,624,6,2046910|2066626|2098413
videos/earth_M.mp4,0.3,624,7,2052218|2056062|2076068
videos/earth_M.mp4,0.3,624,8,2075162|2050563|2072798
videos/earth_M.mp4,0.3,624,9,2057848|2107785|2105768
videos/earth_M.mp4,0.3,624,10,2088159|2087110|2063247
videos/earth_M.mp4,0.3,624,11,2050417|2131321|2116015
videos/earth_M.mp4,0.3,624,12,2067653|2145525|2110932
videos/earth_M.mp4,0.3,624,13,2065723|2118307|2062588
videos/earth_M.mp4,0.3,624,14,2021178|2109450|2136799
videos/earth_M.mp4,0.3,624,15,2049249|2154351|2154596
videos/earth_M.mp4,0.3,624,16,2063995|2084293|2035132
videos/earth_M.mp4,0.3,624,17,2063477|2078897|2085590
videos/earth_M.mp4,0.3,624,18,2109561|2126156|2115038
videos/earth_M.mp4,0.3,624,19,2055418|2146627|2113839
videos/earth_M.mp4,0.3,624,20,2168457|2132826|2199676
videos/earth_M.mp4,0.3,624,21,2108120|2139847|2189902
videos/earth_M.mp4,0.3,624,22,2164837|2097173|2170905
videos/earth_M.mp4,0.3,624,23,2148897|2229787|2215513
videos/earth_M.mp4,0.3,624,24,2203001|2186744|2170654
videos/earth_M.mp4,0.3,624,25,2171069|2153071|2133689
videos/earth_M.mp4,0.3,624,26,2167945|2089543|2161447
videos/earth_M.mp4,0.3,624,27,2116699|2145364|2195359
videos/earth_M.mp4,0.3,624,28,2136687|2107836|2118507
videos/earth_M.mp4,0.3,624,29,2128224|2132617|2135899
videos/earth_M.mp4,0.3,624,30,2140771|2199861|2196267
videos/earth_M.mp4,0.3,624,31,2176613|2198521|2218054
videos/earth_M.mp4,0.3,624,32,2056287|2151728|2161395
videos/earth_M.mp4,0.3,624,33,2172556|2175628|2132111
videos/earth_M.mp4,0.3,624,34,2165548|2121367|2130643
videos/earth_L.mp4,0.3,571,1,6458372|4970311|5189000
videos/earth_L.mp4,0.3,571,2,5060068|5066910|5275894
videos/earth_L.mp4,0.3,571,3,5194999|5003340|5056053
videos/earth_L.mp4,0.3,571,4,5066147|4993725|5027284
videos/earth_L.mp4,0.3,571,5,4946660|5173168|5054432
videos/earth_L.mp4,0.3,571,6,5206273|5097567|5131258
videos/earth_L.mp4,0.3,571,7,5141256|4960329|5059477
videos/earth_L.mp4,0.3,571,8,5341215|5362446|4979407
videos/earth_L.mp4,0.3,571,9,5244335|5024044|5084631
videos/earth_L.mp4,0.3,571,10,5244564|5148776|5173849
videos/earth_L.mp4,0.3,571,11,5162019|5043521|5200234
videos/earth_L.mp4,0.3,571,12,5165103|5320402|5282123
videos/earth_L.mp4,0.3,571,13,5133436|5112708|4990913
videos/earth_L.mp4,0.3,571,14,5194681|5238065|5148125
videos/earth_L.mp4,0.3,571,15,5090014|5380381|5177357
videos/earth_L.mp4,0.3,571,16,5002644|5071782|5157536
videos/earth_L.mp4,0.3,571,17,5119875|5218442|5044897
videos/earth_L.mp4,0.3,571,18,5073136|5020258|5155595
videos/earth_L.mp4,0.3,571,19,5377398|5172380|5226489
videos/earth_L.mp4,0.3,571,20,5170806|5041154|5466991
videos/earth_L.mp4,0.3,571,21,5225681|5239288|5177925
videos/earth_L.mp4,0.3,571,22,5014870|5225398|5170706
videos/earth_L.mp4,0.3,571,23,5004802|5136152|5105413
videos/earth_L.mp4,0.3,571,24,4912718|5264368|5162452
videos/earth_L.mp4,0.3,571,25,5057176|5135203|5011762
videos/earth_L.mp4,0.3,571,26,5082773|5291657|5092055
videos/earth_L.mp4,0.3,571,27,5016000|5030844|5136053
videos/earth_L.mp4,0.3,571,28,4930700|5095588|5088427
videos/earth_L.mp4,0.3,571,29,4988506|5134606|5187407
videos/earth_L.mp4,0.3,571,30,5127710|5313395|5111761
videos/earth_L.mp4,0.3,571,31,5237528|5231591|5084809
videos/earth_L.mp4,0.3,571,32,4904911|5070100|4935232
videos/earth_L.mp4,0.3,571,33,5133445|5097817|4976222
videos/earth_L.mp4,0.3,571,34,5408986|5103469|5248142
